Document,Word,TF-IDF
1092,urgent mobile,0.35801661878160773
1092,valid hr,0.352653618975273
1119,claim call,1.0
1125,good morning,1.0
1133,call later,0.5570334664642678
1133,sorry call,0.5872451435468843
1133,sorry call later,0.5872451435468843
1134,good morning,1.0
1138,co uk,1.0
1147,customer service,1.0
1153,call later,0.5570334664642678
1153,sorry call,0.5872451435468843
1153,sorry call later,0.5872451435468843
1157,last night,1.0
1173,co uk,1.0
1174,happy new,0.590977358538137
1174,happy new year,0.590977358538137
1174,new year,0.5490824376999984
1184,lt gt,1.0
1188,gt min,0.6384359451581793
1188,lt gt,0.41571910924666916
1188,lt gt min,0.647747764285712
1195,co uk,1.0
1197,please call,1.0
1201,decimal gt,0.24323858729468564
1201,gt lt,0.7724840264323004
1201,lt decimal,0.24323858729468564
1201,lt decimal gt,0.24323858729468564
1201,lt gt,0.4751561825964151
1208,selected receive,1.0
1215,let know,1.0
1218,please call,1.0
1222,every week,1.0
1226,selected receive,1.0
1232,lt gt,1.0
1251,call later,1.0
1253,please call,1.0
1261,customer service,1.0
1273,let know,1.0
1276,let know,1.0
1290,happy new,0.590977358538137
1290,happy new year,0.590977358538137
1290,new year,0.5490824376999984
1305,pls send,1.0
1308,co uk,1.0
1309,co uk,1.0
1330,great day,1.0
1333,good morning,1.0
1351,co uk,1.0
1355,take care,1.0
1361,gt min,0.41361251759411277
1361,lt gt,0.8079743724872599
1361,lt gt min,0.4196452057313159
1367,po box,1.0
1370,good night,1.0
1374,lt gt,1.0
1381,every week,1.0
1401,lt gt,1.0
1404,lt gt,1.0
1427,lt gt,1.0
1445,chance win,1.0
1457,txt stop,1.0
1464,urgent mobile,1.0
1468,decimal gt,0.5674130024205011
1468,lt decimal,0.5674130024205011
1468,lt decimal gt,0.5674130024205011
1468,lt gt,0.18473617418485577
1471,good morning,1.0
1486,call later,0.5570334664642678
1486,sorry call,0.5872451435468843
1486,sorry call later,0.5872451435468843
1492,good morning,1.0
1493,free text,1.0
1503,national rate,0.7334463723325656
1503,po box,0.6797473199007111
1505,lt gt,1.0
1522,national rate,0.7017506912355546
1522,urgent mobile,0.7124226044634051
1545,co uk,0.655484937190529
1545,free text,0.7552082475160928
1567,gt lt,0.47645253666975124
1567,lt gt,0.8792001935287318
1580,lt gt,1.0
1585,let know,0.8116432547145025
1585,lt gt,0.5841534276852692
1586,call later,0.5570334664642678
1586,sorry call,0.5872451435468843
1586,sorry call later,0.5872451435468843
1587,let know,0.8116432547145025
1587,lt gt,0.5841534276852692
1595,private account,0.7071067811865476
1595,private account statement,0.7071067811865476
1596,good morning,1.0
1599,call land,0.35801661878160773
1599,call land line,0.35801661878160773
1599,guaranteed call,0.3454983023714088
1599,land line,0.35801661878160773
1599,prize guaranteed,0.34777887108053
1599,prize guaranteed call,0.3501608310716798
1599,urgent mobile,0.35801661878160773
1599,valid hr,0.352653618975273
1603,let know,1.0
1614,co uk,1.0
1620,lt gt,1.0
1626,free text,1.0
1629,claim call,1.0
1636,co uk,1.0
1654,chance win,1.0
1656,happy new,0.590977358538137
1656,happy new year,0.590977358538137
1656,new year,0.5490824376999984
1668,last night,1.0
1674,call land,0.38343235008949594
1674,call land line,0.38343235008949594
1674,guaranteed call,0.37002535379792306
1674,land line,0.38343235008949594
1674,prize guaranteed,0.3724678209176194
1674,prize guaranteed call,0.375018877123708
1674,valid hr,0.3776886289564643
1688,call claim,0.7663774205096028
1688,please call,0.6423905738202014
1698,last night,1.0
1726,lt gt,1.0
1727,lt gt,1.0
1739,pls send,1.0
1746,call landline,1.0
1747,take care,1.0
1779,chance win,0.7552082475160928
1779,co uk,0.655484937190529
1780,good morning,1.0
1781,free text,1.0
1782,po box,1.0
1785,hi hi,1.0
1794,co uk,1.0
1802,lt gt,1.0
1804,ok lor,1.0
1806,lt gt,1.0
1808,please call,0.6452956357881977
1808,selected receive,0.7639329436754941
1821,ok lor,1.0
1828,lt gt,1.0
1830,call later,1.0
1854,national rate,0.6988745387859157
1854,prize claim,0.7152442792758106
1865,let know,1.0
1875,customer service,0.6787083343960647
1875,prize claim,0.7344079226297328
1889,await collection,0.615930987825368
1889,call landline,0.5915570299808597
1889,please call,0.5202780972871054
1895,good morning,1.0
1903,call later,0.5570334664642678
1903,sorry call,0.5872451435468843
1903,sorry call later,0.5872451435468843
1905,chance win,1.0
1912,lt gt,1.0
1919,ok lor,1.0
1927,lt gt,1.0
1930,call claim,1.0
1931,chance win,1.0
1936,great day,1.0
1943,await collection,1.0
1946,let know,1.0
1950,pls send,1.0
1956,good night,1.0
1962,call landline,1.0
1964,free text,1.0
1973,good night,1.0
1979,send stop,1.0
1982,call later,0.5570334664642678
1982,sorry call,0.5872451435468843
1982,sorry call later,0.5872451435468843
1983,call later,0.4578905985286959
1983,lt gt,0.34451123102644027
1983,please call,0.45343267013024496
1983,sorry call,0.4827250900534567
1983,sorry call later,0.4827250900534567
1985,lt gt,1.0
1986,await collection,0.615930987825368
1986,call landline,0.5915570299808597
1986,please call,0.5202780972871054
1990,call later,0.5570334664642678
1990,sorry call,0.5872451435468843
1990,sorry call later,0.5872451435468843
1994,co uk,1.0
2006,decimal gt,0.5
2006,gt min,0.5
2006,lt decimal,0.5
2006,lt decimal gt,0.5
2013,every week,0.9515154408706131
2013,lt gt,0.3076009846941373
2024,every week,1.0
2065,urgent mobile,1.0
2067,wat time,1.0
2071,co uk,1.0
2073,good night,0.7439083294159504
2073,take care,0.6682816752130569
2096,claim call,0.5680302735593301
2096,private account,0.5819542973121311
2096,private account statement,0.5819542973121311
2101,po box,1.0
2110,co uk,1.0
2111,lt gt,1.0
2114,claim call,0.7071067811865476
2114,selected receive,0.7071067811865476
2116,po box,1.0
2117,last night,1.0
2120,every week,1.0
2125,claim call,0.7015107521683565
2125,prize claim,0.7126588697211217
2126,good night,1.0
2146,send stop,1.0
2147,po box,1.0
2161,every week,1.0
2164,lt gt,1.0
2171,po box,1.0
2177,please call,1.0
2181,lt gt,1.0
2208,urgent mobile,1.0
2209,take care,1.0
2210,await collection,1.0
2221,customer service,0.6787083343960647
2221,prize claim,0.7344079226297328
2225,customer service,0.7433953999012927
2225,please call,0.6688522104363545
2235,good morning,1.0
2239,let know,1.0
2241,lt gt,1.0
2251,customer service,0.7433953999012927
2251,please call,0.6688522104363545
2264,gt min,0.6384359451581793
2264,lt gt,0.41571910924666916
2264,lt gt min,0.647747764285712
2265,send stop,1.0
2267,pls send,1.0
2281,call later,0.5570334664642678
2281,sorry call,0.5872451435468843
2281,sorry call later,0.5872451435468843
2296,please call,1.0
2298,please call,1.0
2303,lt gt,1.0
2305,lt gt,1.0
2313,national rate,0.6988745387859157
2313,prize claim,0.7152442792758106
2314,co uk,1.0
2326,ok lor,1.0
2329,urgent mobile,1.0
2342,take care,1.0
2344,free call,1.0
2345,lt gt,1.0
2348,lt gt,1.0
2355,please call,1.0
2356,lt gt,1.0
2366,good night,1.0
2368,txt stop,1.0
2375,call land,0.38343235008949594
2375,call land line,0.38343235008949594
2375,guaranteed call,0.37002535379792306
2375,land line,0.38343235008949594
2375,prize guaranteed,0.3724678209176194
2375,prize guaranteed call,0.375018877123708
2375,valid hr,0.3776886289564643
2380,lt gt,1.0
2381,lt gt,1.0
2386,call later,0.5570334664642678
2386,sorry call,0.5872451435468843
2386,sorry call later,0.5872451435468843
2387,call landline,1.0
2392,lt gt,1.0
2409,decimal gt,0.46908291044984224
2409,gt lt,0.4965756179629444
2409,lt decimal,0.46908291044984224
2409,lt decimal gt,0.46908291044984224
2409,lt gt,0.3054444712487618
2429,lt gt,1.0
2435,gt lt,0.2615275197538708
2435,lt gt,0.965196019682732
2439,chance win,1.0
2445,lt gt,1.0
2448,call later,0.5570334664642678
2448,sorry call,0.5872451435468843
2448,sorry call later,0.5872451435468843
2450,lt gt,1.0
2475,ok lor,0.6967767149043075
2475,wat time,0.7172880938417712
2476,lt gt,1.0
2482,await collection,0.6009766686315637
2482,call landline,0.5771944912832926
2482,po box,0.5528775298316334
2486,let know,1.0
2489,pls send,1.0
2497,selected receive,1.0
2498,lt gt,1.0
2500,lt gt,1.0
2504,take care,1.0
2516,decimal gt,0.5773502691896257
2516,lt decimal,0.5773502691896257
2516,lt decimal gt,0.5773502691896257
2519,call later,0.5570334664642678
2519,sorry call,0.5872451435468843
2519,sorry call later,0.5872451435468843
2523,call later,0.5570334664642678
2523,sorry call,0.5872451435468843
2523,sorry call later,0.5872451435468843
2525,call later,0.5570334664642678
2525,sorry call,0.5872451435468843
2525,sorry call later,0.5872451435468843
2526,co uk,1.0
2530,lt gt,1.0
2537,pls send,1.0
2549,co uk,1.0
2582,send stop,1.0
2584,free text,1.0
2586,hi hi,1.0
2594,lt gt,1.0
2616,let know,1.0
2617,lt gt,1.0
2619,pls send,1.0
2621,please call,1.0
2624,ok lor,1.0
2626,lt gt,1.0
2627,every week,1.0
2631,new year,1.0
2633,urgent mobile,1.0
2647,call later,0.5570334664642678
2647,sorry call,0.5872451435468843
2647,sorry call later,0.5872451435468843
2650,lt gt,1.0
2659,lt gt,1.0
2665,co uk,0.6582433004524174
2665,every week,0.75280525862238
2673,lt gt,1.0
2682,decimal gt,0.46908291044984224
2682,gt lt,0.4965756179629444
2682,lt decimal,0.46908291044984224
2682,lt decimal gt,0.46908291044984224
2682,lt gt,0.3054444712487618
2684,call landline,1.0
2687,call land,0.38343235008949594
2687,call land line,0.38343235008949594
2687,guaranteed call,0.37002535379792306
2687,land line,0.38343235008949594
2687,prize guaranteed,0.3724678209176194
2687,prize guaranteed call,0.375018877123708
2687,valid hr,0.3776886289564643
2688,lt gt,1.0
2691,gt min,0.6384359451581793
2691,lt gt,0.41571910924666916
2691,lt gt min,0.647747764285712
2692,co uk,1.0
2694,call claim,0.7149067073395331
2694,free call,0.6992198508344476
2702,lt gt,1.0
2706,txt stop,1.0
2709,free call,1.0
2712,co uk,1.0
2716,wat time,1.0
2717,lt gt,1.0
2718,lt gt,1.0
2722,ok lor,1.0
2725,great day,1.0
2730,await collection,0.615930987825368
2730,call landline,0.5915570299808597
2730,please call,0.5202780972871054
2731,await collection,0.615930987825368
2731,call landline,0.5915570299808597
2731,please call,0.5202780972871054
2740,lt gt,1.0
2751,let know,1.0
2768,txt stop,1.0
2780,chance win,1.0
2792,call claim,1.0
2796,gt lt,0.6307673280621343
2796,lt gt,0.7759720213057658
2802,lt gt,1.0
2809,free call,1.0
2816,let know,1.0
2818,pls send,1.0
2819,co uk,1.0
2827,national rate,0.6988745387859157
2827,prize claim,0.7152442792758106
2828,ok lor,1.0
2845,great day,1.0
2848,wat time,1.0
2851,national rate,0.7334463723325656
2851,po box,0.6797473199007111
2852,happy new,0.590977358538137
2852,happy new year,0.590977358538137
2852,new year,0.5490824376999984
2870,lt gt,1.0
2871,lt gt,1.0
2872,national rate,0.7334463723325656
2872,po box,0.6797473199007111
2889,take care,1.0
2898,free call,1.0
2902,decimal gt,0.5773502691896257
2902,lt decimal,0.5773502691896257
2902,lt decimal gt,0.5773502691896257
2903,po box,1.0
2911,call land,0.35801661878160773
2911,call land line,0.35801661878160773
2911,guaranteed call,0.3454983023714088
2911,land line,0.35801661878160773
2911,prize guaranteed,0.34777887108053
2911,prize guaranteed call,0.3501608310716798
2911,urgent mobile,0.35801661878160773
2911,valid hr,0.352653618975273
2913,call later,1.0
2915,decimal gt,0.5773502691896257
2915,lt decimal,0.5773502691896257
2915,lt decimal gt,0.5773502691896257
2933,lt gt,1.0
2934,gt lt,0.7349589147938891
2934,lt gt,0.6781116379807891
2935,lt gt,1.0
2942,please call,1.0
2947,let know,0.8116432547145025
2947,lt gt,0.5841534276852692
2953,free call,1.0
2955,urgent mobile,1.0
2959,last night,1.0
2969,decimal gt,0.24323858729468564
2969,gt lt,0.7724840264323004
2969,lt decimal,0.24323858729468564
2969,lt decimal gt,0.24323858729468564
2969,lt gt,0.4751561825964151
2975,happy new,0.590977358538137
2975,happy new year,0.590977358538137
2975,new year,0.5490824376999984
2976,let know,1.0
2983,good morning,1.0
2988,send stop,1.0
2991,every week,1.0
2993,national rate,0.7334463723325656
2993,po box,0.6797473199007111
3009,let know,1.0
3010,free text,1.0
3013,good morning,1.0
3014,last night,1.0
3015,txt stop,1.0
3017,gt min,0.6384359451581793
3017,lt gt,0.41571910924666916
3017,lt gt min,0.647747764285712
3018,good morning,0.39746948828315387
3018,happy new,0.43204846654528484
3018,happy new year,0.43204846654528484
3018,lt gt,0.5545702002125984
3018,new year,0.4014201589753835
3021,wat time,1.0
3023,call later,1.0
3033,let know,1.0
3036,lt gt,1.0
3041,happy new,0.590977358538137
3041,happy new year,0.590977358538137
3041,new year,0.5490824376999984
3046,let know,1.0
3055,pls send,1.0
3057,chance win,1.0
3059,lt gt,1.0
3060,co uk,1.0
3061,lt gt,1.0
3074,ok lor,1.0
3078,great day,1.0
3086,ok lor,1.0
3093,chance win,1.0
3094,take care,1.0
3098,lt gt,1.0
3108,lt gt,1.0
3109,happy new,0.5228210760042848
3109,happy new year,0.5228210760042848
3109,let know,0.4662141024502104
3109,new year,0.4857578158382924
3111,lt gt,1.0
3112,customer service,0.6897143613086474
3112,send stop,0.7240815560450385
3115,wat time,1.0
3118,happy new,0.590977358538137
3118,happy new year,0.590977358538137
3118,new year,0.5490824376999984
3119,free call,1.0
3124,chance win,1.0
3125,hi hi,1.0
3138,let know,1.0
3149,good night,1.0
3151,call later,1.0
3156,send stop,1.0
3165,claim call,0.7015107521683565
3165,prize claim,0.7126588697211217
3168,po box,1.0
3175,co uk,1.0
3186,good morning,1.0
3190,national rate,0.6988745387859157
3190,prize claim,0.7152442792758106
3191,lt gt,1.0
3200,wat time,1.0
3218,call land,0.38343235008949594
3218,call land line,0.38343235008949594
3218,guaranteed call,0.37002535379792306
3218,land line,0.38343235008949594
3218,prize guaranteed,0.3724678209176194
3218,prize guaranteed call,0.375018877123708
3218,valid hr,0.3776886289564643
3219,decimal gt,0.5773502691896257
3219,lt decimal,0.5773502691896257
3219,lt decimal gt,0.5773502691896257
3223,customer service,0.7433953999012927
3223,please call,0.6688522104363545
3230,chance win,1.0
3231,po box,1.0
3235,good morning,1.0
3244,good morning,1.0
3261,national rate,0.6988745387859157
3261,prize claim,0.7152442792758106
3266,lt gt,1.0
3267,free text,1.0
3273,please call,1.0
3274,good night,1.0
3279,great day,1.0
3281,decimal gt,0.46908291044984224
3281,gt lt,0.4965756179629444
3281,lt decimal,0.46908291044984224
3281,lt decimal gt,0.46908291044984224
3281,lt gt,0.3054444712487618
3283,wat time,1.0
3287,lt gt,1.0
3294,good morning,1.0
3299,please call,0.6452956357881977
3299,selected receive,0.7639329436754941
3307,lt gt,1.0
3313,last night,1.0
3317,free text,1.0
3318,good night,1.0
3335,call land,0.5773502691896257
3335,call land line,0.5773502691896257
3335,land line,0.5773502691896257
3350,call later,0.5570334664642678
3350,sorry call,0.5872451435468843
3350,sorry call later,0.5872451435468843
3367,call later,0.5570334664642678
3367,sorry call,0.5872451435468843
3367,sorry call later,0.5872451435468843
3386,please call,1.0
3392,please call,1.0
3393,call later,1.0
3398,call land,0.44854935079006586
3398,call land line,0.44854935079006586
3398,land line,0.44854935079006586
3398,urgent mobile,0.44854935079006586
3398,valid hr,0.44183019320010464
3403,great day,1.0
3405,good night,0.7439083294159504
3405,take care,0.6682816752130569
3410,free text,1.0
3411,great day,1.0
3412,lt gt,1.0
3414,let know,1.0
3424,free call,0.6932972249682324
3424,txt stop,0.7206517590704598
3425,free text,1.0
3433,lt gt,1.0
3441,last night,1.0
3444,co uk,1.0
3450,lt gt,1.0
3469,call land,0.38343235008949594
3469,call land line,0.38343235008949594
3469,guaranteed call,0.37002535379792306
3469,land line,0.38343235008949594
3469,prize guaranteed,0.3724678209176194
3469,prize guaranteed call,0.375018877123708
3469,valid hr,0.3776886289564643
3473,good night,1.0
3478,lt gt,1.0
3479,lt gt,0.5683489875908745
3479,new year,0.8227875961051114
3486,good morning,0.6316147651486356
3486,lt gt,0.4406309629937927
3486,new year,0.6378927362005282
3494,decimal gt,0.5773502691896257
3494,lt decimal,0.5773502691896257
3494,lt decimal gt,0.5773502691896257
3496,call land,0.5773502691896257
3496,call land line,0.5773502691896257
3496,land line,0.5773502691896257
3503,lt gt,1.0
3510,happy new,0.590977358538137
3510,happy new year,0.590977358538137
3510,new year,0.5490824376999984
3530,claim call,1.0
3531,new year,1.0
3534,lt gt,1.0
3535,call later,0.5570334664642678
3535,sorry call,0.5872451435468843
3535,sorry call later,0.5872451435468843
3537,please call,1.0
3551,lt gt,1.0
3558,ok lor,1.0
3561,call land,0.38734953415753365
3561,call land line,0.38734953415753365
3561,guaranteed call,0.373805570621905
3561,land line,0.38734953415753365
3561,po box,0.3536122775049409
3561,prize guaranteed,0.37627299023526994
3561,prize guaranteed call,0.37885010829222965
3567,lt gt,1.0
3569,prize guaranteed,1.0
3587,good night,1.0
3595,call later,0.5570334664642678
3595,sorry call,0.5872451435468843
3595,sorry call later,0.5872451435468843
3596,free text,1.0
3598,good morning,0.4776491313144599
3598,happy new,0.5192035635804207
3598,happy new year,0.5192035635804207
3598,new year,0.48239675215047406
3611,lt gt,1.0
3618,lt gt,1.0
3622,lt gt,1.0
3636,lt gt,1.0
3640,customer service,0.7433953999012927
3640,please call,0.6688522104363545
3643,po box,1.0
3661,gt min,0.6384359451581793
3661,lt gt,0.41571910924666916
3661,lt gt min,0.647747764285712
3662,lt gt,1.0
3672,take care,1.0
3682,pls send,1.0
3687,lt gt,1.0
3688,lt gt,1.0
3693,please call,1.0
3697,lt gt,1.0
3699,claim call,0.7071067811865476
3699,selected receive,0.7071067811865476
3702,take care,1.0
3717,take care,1.0
3721,customer service,0.7433953999012927
3721,please call,0.6688522104363545
3731,please call,1.0
3739,gt lt,0.6307673280621343
3739,lt gt,0.7759720213057658
3747,let know,1.0
3761,good night,1.0
3762,lt gt,1.0
3764,co uk,0.6582433004524174
3764,every week,0.75280525862238
3765,gt min,0.6384359451581793
3765,lt gt,0.41571910924666916
3765,lt gt min,0.647747764285712
3769,free call,1.0
3778,ok lor,1.0
3780,good night,1.0
3783,lt gt,1.0
3787,let know,1.0
3790,co uk,1.0
3799,lt gt,1.0
3800,lt gt,1.0
3801,lt gt,1.0
3806,lt gt,1.0
3808,call claim,0.5108751790926419
3808,guaranteed call,0.49301204983410907
3808,prize guaranteed,0.4962663287881709
3808,prize guaranteed call,0.4996652889850785
3829,call claim,0.7195751022879376
3829,guaranteed call,0.694414625542481
3833,lt gt,1.0
3844,decimal gt,0.5773502691896257
3844,lt decimal,0.5773502691896257
3844,lt decimal gt,0.5773502691896257
3848,lt gt,1.0
3854,lt gt,1.0
3867,take care,1.0
3875,good morning,1.0
3881,lt gt,1.0
3885,lt gt,1.0
3886,co uk,1.0
3890,take care,1.0
3892,free call,1.0
3894,claim call,1.0
3896,call landline,1.0
3898,call claim,1.0
3906,claim call,1.0
3908,take care,1.0
3914,customer service,1.0
3921,lt gt,1.0
3945,call landline,1.0
3955,free text,1.0
3964,selected receive,1.0
3968,take care,1.0
3970,lt gt,1.0
3979,free call,1.0
3986,last night,1.0
3989,every week,1.0
3990,let know,1.0
3991,ok lor,1.0
3998,lt gt,1.0
3999,national rate,1.0
4002,national rate,0.6988745387859157
4002,prize claim,0.7152442792758106
4013,customer service,0.7433953999012927
4013,please call,0.6688522104363545
4021,national rate,1.0
4026,wat time,1.0
4027,lt gt,1.0
4037,call claim,0.7098262707632392
4037,selected receive,0.7043767921605258
4041,pls send,1.0
4043,customer service,0.7433953999012927
4043,please call,0.6688522104363545
4045,lt gt,1.0
4049,customer service,0.7433953999012927
4049,please call,0.6688522104363545
4052,take care,1.0
4068,lt gt,1.0
4081,lt gt,1.0
4082,good morning,0.6419976131785079
4082,let know,0.6222922689178827
4082,lt gt,0.4478743090624113
4089,private account,0.7071067811865476
4089,private account statement,0.7071067811865476
4093,lt gt,1.0
4109,national rate,0.7334463723325656
4109,po box,0.6797473199007111
4110,pls send,1.0
4113,call landline,0.3988375418037537
4113,guaranteed call,0.4038510595537471
4113,prize guaranteed,0.40651680373611254
4113,prize guaranteed call,0.4093010636286731
